,,,,,,,,,,% of FGA by Distance,,,,,,,FG% by Distance,,,,,,,% of FG Ast'd,,,Dunks,,,Corner 3s,,,Heaves,
87,Jevon Carter,PG,28,CHI,72,1004,0.378,20.4,,0.359,0.041,0.088,0.134,0.096,0.641,,0.466,0.333,0.438,0.469,0.543,0.329,,0.689,0.87,,0,0,,0.252,0.39,,1,0
88,Wendell Carter Jr.,C,24,ORL,55,1406,0.525,12.6,,0.598,0.332,0.191,0.059,0.016,0.402,,0.626,0.809,0.395,0.44,0.286,0.374,,0.736,0.984,,0.186,71,,0.415,0.338,,0,0
89,D.J. Carton,SG,23,TOR,4,36,0.375,14.4,,0.5,0.25,0.25,0,0,0.5,,0.5,0.5,0.5,,,0.25,,0.5,1,,0,0,,0.75,0.333,,0,0
90,Alex Caruso,SG,29,CHI,71,2040,0.468,17.1,,0.384,0.216,0.115,0.022,0.031,0.616,,0.563,0.675,0.387,0.667,0.353,0.408,,0.436,0.89,,0.031,15,,0.363,0.397,,0,0
91,Colin Castleton,C,23,LAL,16,59,0.563,3.6,,1,0.5,0.438,0.063,0,0,,0.563,0.625,0.429,1,,,,0.667,,,0.188,3,,,,,0,0
92,Malcolm Cazalon,SG,22,DET,1,3,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0
93,Julian Champagnie,SF,22,SAS,74,1468,0.408,18.4,,0.311,0.194,0.09,0.012,0.015,0.689,,0.504,0.641,0.306,0,0.333,0.365,,0.857,0.98,,0.067,19,,0.329,0.363,,0,0
94,Justin Champagnie,SF,22,WAS,15,235,0.41,16,,0.423,0.295,0.115,0,0.013,0.577,,0.576,0.739,0.222,,0,0.289,,0.737,1,,0.038,3,,0.444,0.25,,1,1
95,Max Christie,SG,20,LAL,67,944,0.427,16.3,,0.51,0.166,0.158,0.124,0.062,0.49,,0.496,0.6,0.342,0.533,0.533,0.356,,0.639,0.976,,0.075,16,,0.415,0.449,,1,0
96,Sidy Cissoko,SF,19,SAS,12,141,0.485,10.4,,0.636,0.424,0.212,0,0,0.364,,0.714,0.857,0.429,,,0.083,,0.8,1,,0.333,10,,0.5,0.167,,0,0
97,Brandon Clarke,PF,27,MEM,6,134,0.559,9.2,,0.898,0.254,0.373,0.186,0.085,0.102,,0.604,0.6,0.682,0.545,0.4,0.167,,0.781,1,,0.034,2,,0.667,0.25,,0,0
98,Jordan Clarkson,SG,31,UTA,55,1682,0.413,14.9,,0.621,0.113,0.339,0.125,0.044,0.379,,0.485,0.598,0.473,0.412,0.5,0.294,,0.37,0.703,,0.017,13,,0.133,0.415,,8,0
99,Nic Claxton,C,24,BRK,71,2116,0.629,3.6,,0.991,0.596,0.337,0.05,0.009,0.009,,0.633,0.769,0.434,0.345,0.6,0.2,,0.729,1,,0.328,172,,0.8,0.25,,0,0
100,Noah Clowney,PF,19,BRK,23,370,0.538,10.5,,0.645,0.419,0.215,0.011,0,0.355,,0.633,0.795,0.3,1,,0.364,,0.763,1,,0.118,11,,0.606,0.45,,0,0
101,Amir Coffey,SF,26,LAC,70,1460,0.472,16.6,,0.477,0.151,0.159,0.128,0.04,0.523,,0.571,0.774,0.5,0.489,0.357,0.38,,0.771,0.971,,0.023,7,,0.5,0.424,,3,0
102,John Collins,PF,26,UTA,68,1901,0.532,11,,0.689,0.303,0.304,0.043,0.039,0.311,,0.605,0.783,0.493,0.438,0.276,0.371,,0.73,0.988,,0.15,106,,0.431,0.37,,0,0
103,Zach Collins,C,26,SAS,69,1526,0.484,11.5,,0.706,0.266,0.313,0.088,0.039,0.294,,0.552,0.726,0.472,0.463,0.208,0.32,,0.713,1,,0.042,25,,0.099,0.333,,0,0
104,Mike Conley,PG,36,MIN,76,2193,0.457,18.8,,0.371,0.084,0.161,0.09,0.036,0.629,,0.481,0.648,0.49,0.362,0.348,0.442,,0.461,0.804,,0,0,,0.225,0.484,,0,0
105,Pat Connaughton,SF,31,MIL,76,1676,0.435,18.2,,0.314,0.205,0.104,0.003,0.003,0.686,,0.633,0.789,0.333,0,1,0.345,,0.667,0.963,,0.017,3,,0.403,0.406,,0,0
106,Bilal Coulibaly,SF,19,WAS,63,1715,0.435,13.2,,0.572,0.313,0.188,0.035,0.037,0.428,,0.502,0.667,0.346,0.133,0.25,0.346,,0.621,0.953,,0.134,51,,0.481,0.393,,0,0
107,Ricky Council IV,SG,22,PHI,32,289,0.482,10.6,,0.714,0.321,0.33,0.036,0.027,0.286,,0.525,0.639,0.405,0.5,0.667,0.375,,0.667,1,,0.08,8,,0.313,0.4,,0,0
108,Robert Covington,SF-PF,33,TOT,29,488,0.439,16.4,,0.429,0.245,0.143,0.031,0.01,0.571,,0.571,0.625,0.571,0.333,0,0.339,,0.75,1,,0.031,3,,0.268,0.467,,0,0
108,Robert Covington,PF,33,LAC,3,69,0.333,22.2,,0.111,0.111,0,0,0,0.889,,1,1,,,,0.25,,1,1,,0.111,1,,0.375,0.333,,0,0
108,Robert Covington,SF,33,PHI,26,419,0.449,15.8,,0.461,0.258,0.157,0.034,0.011,0.539,,0.561,0.609,0.571,0.333,0,0.354,,0.739,1,,0.022,2,,0.25,0.5,,0,0
109,Torrey Craig,SF,33,CHI,53,1049,0.43,16.8,,0.39,0.219,0.124,0.02,0.028,0.61,,0.49,0.582,0.419,0.2,0.286,0.392,,0.583,0.967,,0.02,3,,0.451,0.362,,0,0
110,Jae Crowder,PF,33,MIL,50,1156,0.422,18.6,,0.385,0.104,0.148,0.059,0.074,0.615,,0.538,0.714,0.475,0.5,0.45,0.349,,0.893,0.966,,0,0,,0.452,0.4,,1,0
111,Jalen Crutcher,PG,24,NOP,1,3,0,4.5,,1,0,1,0,0,0,,0,,0,,,,,,,,0,0,,,,,0,0
112,Cade Cunningham,PG,22,DET,62,2074,0.449,13.5,,0.713,0.177,0.275,0.154,0.106,0.287,,0.487,0.618,0.402,0.528,0.427,0.355,,0.262,0.706,,0.022,23,,0.116,0.359,,5,0
113,Seth Curry,SG,33,TOT,44,616,0.392,19.6,,0.471,0.059,0.103,0.074,0.235,0.529,,0.438,0.833,0.524,0.133,0.396,0.352,,0.5,0.868,,0,0,,0.324,0.457,,1,0
113,Seth Curry,SG,33,DAL,36,457,0.372,19.9,,0.448,0.062,0.076,0.069,0.241,0.552,,0.385,0.778,0.455,0,0.371,0.363,,0.48,0.862,,0,0,,0.35,0.429,,0,0
113,Seth Curry,SG,33,CHO,8,159,0.441,19.1,,0.525,0.051,0.169,0.085,0.22,0.475,,0.548,1,0.6,0.4,0.462,0.321,,0.529,0.889,,0,0,,0.25,0.571,,1,0
114,Stephen Curry,PG,35,GSW,74,2421,0.45,19.8,,0.394,0.074,0.173,0.065,0.082,0.606,,0.515,0.692,0.508,0.426,0.441,0.408,,0.399,0.611,,0,0,,0.08,0.557,,2,0
115,Dyson Daniels,PG,20,NOP,61,1358,0.447,14.2,,0.566,0.238,0.232,0.09,0.006,0.434,,0.551,0.635,0.528,0.393,0.5,0.311,,0.526,1,,0.055,13,,0.363,0.408,,4,0
116,Anthony Davis,C,30,LAL,76,2700,0.556,8,,0.917,0.369,0.309,0.15,0.09,0.083,,0.582,0.774,0.487,0.432,0.365,0.271,,0.67,0.966,,0.162,196,,0.15,0.125,,0,0
117,Johnny Davis,SG,21,WAS,50,613,0.403,11,,0.74,0.292,0.273,0.13,0.045,0.26,,0.421,0.644,0.333,0.25,0,0.35,,0.604,1,,0.045,7,,0.45,0.389,,1,0
118,JD Davison,SG,21,BOS,8,39,0.417,19.2,,0.417,0.083,0.167,0,0.167,0.583,,0.4,1,0,,0.5,0.429,,1,1,,0,0,,0.143,0,,0,0
119,Dexter Dennis,SG,24,DAL,4,30,0.526,14.3,,0.579,0.316,0.053,0.105,0.105,0.421,,0.818,1,1,0.5,0.5,0.125,,0.444,1,,0.053,1,,0,,,0,0
120,DeMar DeRozan,SF,34,CHI,79,2989,0.48,13.2,,0.834,0.182,0.172,0.25,0.23,0.166,,0.509,0.684,0.494,0.49,0.402,0.333,,0.282,0.853,,0.019,18,,0.316,0.394,,1,0
121,Moussa Diabaté,C,22,LAC,11,64,0.526,3.2,,1,0.579,0.368,0.053,0,0,,0.526,0.727,0.286,0,,,,0.5,,,0.316,4,,,,,0,0
122,Mamadi Diakite,PF,27,TOT,6,24,0.667,7.8,,0.833,0.5,0.333,0,0,0.167,,0.8,0.667,1,,,0,,1,,,0.167,1,,0,,,0,0
122,Mamadi Diakite,PF,27,SAS,3,16,0.8,4.2,,1,0.6,0.4,0,0,0,,0.8,0.667,1,,,,,1,,,0.2,1,,,,,0,0
122,Mamadi Diakite,PF,27,NYK,3,8,0,25.9,,0,0,0,0,0,1,,,,,,,0,,,,,0,0,,0,,,0,0
123,Hamidou Diallo,SG,25,WAS,2,5,0.5,0.1,,1,1,0,0,0,0,,0.5,0.5,,,,,,0,,,0,0,,,,,0,0
124,Gradey Dick,SG,20,TOR,60,1268,0.425,17.2,,0.458,0.18,0.13,0.072,0.076,0.542,,0.495,0.638,0.431,0.344,0.412,0.365,,0.842,0.977,,0.034,13,,0.378,0.462,,3,0
125,Ousmane Dieng,PF,20,OKC,33,365,0.422,17.5,,0.397,0.19,0.129,0.043,0.034,0.603,,0.609,0.818,0.333,0.4,0.75,0.3,,0.857,1,,0.112,13,,0.314,0.5,,0,0
126,Spencer Dinwiddie,PG,30,TOT,76,2152,0.392,17.4,,0.425,0.127,0.213,0.063,0.023,0.575,,0.467,0.642,0.426,0.325,0.267,0.337,,0.157,0.782,,0.017,8,,0.25,0.511,,2,0
126,Spencer Dinwiddie,PG,30,BRK,48,1474,0.391,17,,0.443,0.14,0.222,0.06,0.02,0.557,,0.48,0.643,0.441,0.333,0.2,0.32,,0.16,0.719,,0.016,5,,0.212,0.458,,2,0
126,Spencer Dinwiddie,PG,30,LAL,28,678,0.397,18.8,,0.362,0.078,0.177,0.071,0.035,0.638,,0.412,0.636,0.36,0.3,0.4,0.389,,0.143,0.943,,0.021,3,,0.367,0.606,,0,0
127,Donte DiVincenzo,SG,27,NYK,81,2360,0.443,19.2,,0.298,0.178,0.081,0.027,0.012,0.702,,0.542,0.603,0.407,0.556,0.5,0.401,,0.636,0.919,,0.025,20,,0.251,0.446,,3,1
128,Luka Dončić,PG,24,DAL,70,2624,0.487,16.9,,0.55,0.123,0.192,0.152,0.082,0.45,,0.573,0.838,0.569,0.442,0.422,0.382,,0.177,0.299,,0.001,2,,0.032,0.25,,5,0
129,Luguentz Dort,SF,24,OKC,79,2246,0.438,17.4,,0.397,0.212,0.096,0.05,0.04,0.603,,0.506,0.612,0.397,0.424,0.308,0.394,,0.636,0.994,,0.041,23,,0.278,0.409,,0,0
130,Ayo Dosunmu,SG,24,CHI,76,2212,0.501,13,,0.59,0.334,0.164,0.05,0.042,0.41,,0.568,0.654,0.466,0.361,0.533,0.403,,0.548,0.891,,0.019,13,,0.485,0.385,,1,0
131,Jeff Dowtin,PG,26,PHI,12,142,0.556,15.5,,0.472,0.306,0.083,0.083,0,0.528,,0.647,0.818,0,0.667,,0.474,,0.455,0.556,,0.028,1,,0.105,0.5,,0,0
132,Henri Drell,SF,23,CHI,4,30,0.4,16.5,,0.4,0.1,0.3,0,0,0.6,,0.5,1,0.333,,,0.333,,0,1,,0,0,,0.333,0.5,,0,0
133,Andre Drummond,C,30,CHI,79,1351,0.556,2.8,,0.994,0.713,0.26,0.021,0,0.006,,0.56,0.614,0.416,0.5,,0,,0.558,,,0.16,65,,0,,,3,0
134,Chris Duarte,SF,26,SAC,59,719,0.381,18.3,,0.395,0.152,0.119,0.067,0.057,0.605,,0.434,0.656,0.36,0.429,0,0.346,,0.667,0.886,,0.024,4,,0.346,0.386,,1,0
135,David Duke Jr.,SG,24,SAS,4,51,0.556,12.6,,0.667,0.333,0.167,0.056,0.111,0.333,,0.583,0.833,0.333,0,0.5,0.5,,0.714,1,,0,0,,0.333,0.5,,0,0
136,Kris Dunn,PG,29,UTA,66,1249,0.47,12.6,,0.645,0.163,0.419,0.058,0.006,0.355,,0.525,0.686,0.481,0.389,0.5,0.369,,0.274,0.951,,0.054,17,,0.351,0.41,,1,0
137,Kevin Durant,PF,35,PHO,75,2791,0.523,15,,0.717,0.125,0.153,0.279,0.16,0.283,,0.567,0.827,0.53,0.491,0.53,0.413,,0.511,0.815,,0.054,75,,0.165,0.463,,0,0
138,Jalen Duren,C,20,DET,61,1777,0.619,3.9,,0.993,0.521,0.397,0.055,0.02,0.007,,0.623,0.741,0.536,0.29,0.182,0,,0.676,,,0.296,156,,0,,,0,0
139,Tari Eason,PF,22,HOU,22,480,0.466,9.9,,0.735,0.434,0.185,0.069,0.048,0.265,,0.504,0.561,0.371,0.462,0.556,0.36,,0.471,1,,0.122,20,,0.3,0.267,,0,0
140,Anthony Edwards,SG,22,MIN,79,2770,0.461,14.1,,0.659,0.228,0.192,0.125,0.114,0.341,,0.515,0.707,0.438,0.446,0.333,0.357,,0.331,0.558,,0.051,67,,0.086,0.348,,5,0
141,Kessler Edwards,SF,23,SAC,54,275,0.415,18.3,,0.366,0.171,0.122,0.012,0.061,0.634,,0.467,0.643,0.3,0,0.4,0.385,,0.643,1,,0.037,2,,0.423,0.409,,0,0
142,Keon Ellis,SG,24,SAC,57,978,0.461,20.5,,0.276,0.103,0.095,0.034,0.043,0.724,,0.578,0.667,0.591,0.625,0.3,0.417,,0.649,0.943,,0.03,7,,0.298,0.36,,1,0
143,Joel Embiid,C,29,PHI,39,1309,0.529,12.3,,0.837,0.224,0.189,0.243,0.18,0.163,,0.556,0.749,0.472,0.473,0.516,0.388,,0.533,0.833,,0.026,19,,0.05,0.571,,2,0
144,Drew Eubanks,C,26,PHO,75,1169,0.601,4.3,,0.988,0.506,0.403,0.055,0.024,0.012,,0.596,0.742,0.49,0.286,0,1,,0.805,1,,0.336,66,,1,1,,0,0
145,Tosan Evbuomwan,SF,22,TOT,17,367,0.507,12.7,,0.549,0.254,0.296,0,0,0.451,,0.615,0.722,0.524,,,0.375,,0.833,1,,0.014,1,,0.719,0.435,,0,0
145,Tosan Evbuomwan,SF,22,MEM,4,74,0.267,14.2,,0.467,0.067,0.4,0,0,0.533,,0.286,1,0.167,,,0.25,,1,1,,0,0,,0.75,0.333,,0,0
145,Tosan Evbuomwan,SF,22,DET,13,293,0.571,12.2,,0.571,0.304,0.268,0,0,0.429,,0.688,0.706,0.667,,,0.417,,0.818,1,,0.018,1,,0.708,0.471,,0,0
146,Dante Exum,PG,28,DAL,55,1088,0.533,11.9,,0.642,0.328,0.238,0.053,0.023,0.358,,0.557,0.697,0.375,0.688,0.143,0.491,,0.528,0.981,,0.056,14,,0.426,0.457,,2,0
147,Bruno Fernando,C,25,ATL,45,682,0.583,3.7,,0.979,0.567,0.369,0.037,0.005,0.021,,0.596,0.755,0.391,0.286,0,0,,0.817,,,0.219,38,,0,,,0,0
148,Dorian Finney-Smith,PF,30,BRK,68,1934,0.421,17.6,,0.342,0.225,0.096,0.012,0.01,0.658,,0.56,0.687,0.306,0.667,0,0.348,,0.745,0.974,,0.057,24,,0.348,0.35,,2,0
149,Adam Flagler,SG,24,OKC,2,14,0.143,24.2,,0.143,0,0,0.143,0,0.857,,0,,,0,,0.167,,,0,,0,0,,0,,,0,0
150,Malachi Flynn,PG,25,TOT,69,876,0.418,17,,0.48,0.163,0.151,0.098,0.068,0.52,,0.513,0.623,0.408,0.469,0.545,0.331,,0.275,0.714,,0,0,,0.148,0.44,,0,0
150,Malachi Flynn,PG,25,TOR,31,474,0.409,17.4,,0.416,0.182,0.139,0.066,0.029,0.584,,0.491,0.52,0.474,0.556,0.25,0.35,,0.429,0.929,,0,0,,0.2,0.438,,0,0
150,Malachi Flynn,PG,25,NYK,14,60,0.391,17.6,,0.435,0.217,0.043,0.043,0.13,0.565,,0.5,0.8,0,1,0,0.308,,0.4,0.5,,0,0,,0.077,1,,0,0
150,Malachi Flynn,PG,25,DET,24,342,0.43,16.5,,0.539,0.139,0.176,0.133,0.091,0.461,,0.528,0.696,0.379,0.409,0.733,0.316,,0.17,0.5,,0,0,,0.105,0.375,,0,0
151,Simone Fontecchio,SF,28,TOT,66,1644,0.46,17,,0.391,0.17,0.177,0.033,0.011,0.609,,0.551,0.656,0.474,0.389,0.667,0.401,,0.729,0.978,,0.049,21,,0.434,0.428,,0,0
151,Simone Fontecchio,SF,28,UTA,50,1160,0.45,17.7,,0.349,0.165,0.156,0.022,0.006,0.651,,0.56,0.61,0.518,0.375,1,0.391,,0.7,0.989,,0.053,15,,0.451,0.39,,0,0
151,Simone Fontecchio,SF,28,DET,16,484,0.479,15.8,,0.468,0.179,0.216,0.053,0.021,0.532,,0.539,0.735,0.415,0.4,0.5,0.426,,0.771,0.953,,0.042,6,,0.396,0.525,,0,0
152,Jordan Ford,PG,25,SAC,6,22,0.571,18.2,,0.571,0.143,0,0.286,0.143,0.429,,0.5,1,,0.5,0,0.667,,0,0.5,,0,0,,0.333,1,,0,0
153,Trent Forrest,SG,25,ATL,38,414,0.378,8.4,,0.889,0.244,0.467,0.178,0,0.111,,0.4,0.591,0.238,0.563,,0.2,,0.281,1,,0.011,1,,0.4,0,,0,0
154,Evan Fournier,SG,31,TOT,32,580,0.357,18.9,,0.412,0.072,0.158,0.104,0.077,0.588,,0.505,0.563,0.486,0.652,0.294,0.254,,0.609,0.848,,0,0,,0.3,0.231,,0,0
154,Evan Fournier,SG,31,NYK,3,39,0.2,21.5,,0.25,0.05,0.05,0.1,0.05,0.75,,0.4,1,0,0.5,0,0.133,,0.5,1,,0,0,,0.267,0.5,,0,0
154,Evan Fournier,SG,31,DET,29,541,0.373,18.6,,0.428,0.075,0.169,0.104,0.08,0.572,,0.512,0.533,0.5,0.667,0.313,0.27,,0.614,0.839,,0,0,,0.304,0.2,,0,0
155,De'Aaron Fox,PG,26,SAC,74,2659,0.465,15,,0.626,0.134,0.248,0.172,0.072,0.374,,0.522,0.72,0.534,0.423,0.351,0.369,,0.198,0.626,,0.017,24,,0.134,0.436,,1,0
156,Javon Freeman-Liberty,PG,24,TOR,22,403,0.444,12.2,,0.661,0.306,0.234,0.089,0.032,0.339,,0.549,0.579,0.448,0.727,0.5,0.238,,0.467,1,,0.032,3,,0.262,0.364,,0,0
157,Alex Fudge,SF,20,TOT,6,40,0.4,12,,0.667,0.333,0.2,0.067,0.067,0.333,,0.5,0.6,0.333,1,0,0.2,,0.4,1,,0.2,2,,0.6,0.333,,0,0
157,Alex Fudge,SF,20,LAL,4,14,0.167,15.9,,0.667,0,0.333,0.167,0.167,0.333,,0.25,,0,1,0,0,,0,,,0,0,,0.5,0,,0,0
157,Alex Fudge,SF,20,DAL,2,26,0.556,9.4,,0.667,0.556,0.111,0,0,0.333,,0.667,0.6,1,,,0.333,,0.5,1,,0.333,2,,0.667,0.5,,0,0
158,Markelle Fultz,PG,25,ORL,43,910,0.472,7.4,,0.945,0.353,0.353,0.187,0.052,0.055,,0.487,0.626,0.435,0.361,0.353,0.222,,0.42,1,,0.043,11,,0.722,0.231,,1,0
159,Andrew Funk,SG,24,CHI,5,13,0,19,,0.25,0,0.25,0,0,0.75,,0,,0,,,0,,,,,0,0,,0.667,0,,0,0
160,Wenyen Gabriel,PF,26,MEM,5,81,0.364,8.6,,0.727,0.545,0.091,0.091,0,0.273,,0.438,0.5,0.5,0,,0.167,,0.714,1,,0.136,2,,0.5,0.333,,0,0
161,Daniel Gafford,C-PF,25,TOT,74,1815,0.725,2.8,,1,0.667,0.302,0.027,0.004,0,,0.725,0.813,0.566,0.385,0.5,,,0.761,,,0.392,177,,,,,0,0
161,Daniel Gafford,C,25,WAS,45,1192,0.69,3.2,,1,0.633,0.32,0.041,0.007,0,,0.69,0.774,0.564,0.417,0.5,,,0.729,,,0.347,94,,,,,0,0
161,Daniel Gafford,PF,25,DAL,29,623,0.78,2.2,,1,0.72,0.274,0.005,0,0,,0.78,0.866,0.569,0,,,,0.807,,,0.462,83,,,,,0,0
162,Danilo Gallinari,PF-SF,35,TOT,49,630,0.437,17.8,,0.511,0.142,0.116,0.153,0.1,0.489,,0.546,0.852,0.409,0.517,0.316,0.323,,0.528,0.867,,0.053,8,,0.097,0.556,,0,0
162,Danilo Gallinari,PF,35,WAS,26,385,0.435,18.3,,0.511,0.122,0.115,0.153,0.122,0.489,,0.552,0.875,0.4,0.55,0.375,0.313,,0.486,0.85,,0.046,5,,0.031,0.5,,0,0
162,Danilo Gallinari,SF,35,DET,6,90,0.545,17,,0.455,0.227,0.045,0.136,0.045,0.545,,0.5,0.6,1,0.333,0,0.583,,0.8,0.857,,0.045,0,,0.417,0.6,,0,0
162,Danilo Gallinari,SF,35,MIL,17,155,0.378,16.4,,0.541,0.162,0.162,0.162,0.054,0.459,,0.55,1,0.333,0.5,0,0.176,,0.545,1,,0.081,3,,0.118,0.5,,0,0
163,Darius Garland,PG,24,CLE,57,1901,0.446,15.7,,0.577,0.17,0.214,0.115,0.077,0.423,,0.501,0.643,0.406,0.505,0.446,0.371,,0.346,0.652,,0,0,,0.14,0.44,,0,0
164,Usman Garuba,PF,21,GSW,6,18,0.167,7.2,,0.833,0.333,0.5,0,0,0.167,,0.2,0.5,0,,,0,,0,,,0,0,,0,,,0,0
165,Luka Garza,C,25,MIN,25,122,0.48,13.6,,0.573,0.187,0.347,0.04,0,0.427,,0.628,0.714,0.538,1,,0.281,,0.556,1,,0.027,2,,0.031,0,,0,0
166,Kaiser Gates,SF,27,NOP,1,7,0,13.7,,0.5,0.5,0,0,0,0.5,,0,0,,,,0,,,,,0,0,,0,,,0,0
167,Keyonte George,PG,20,UTA,75,2023,0.391,17.9,,0.46,0.075,0.228,0.104,0.053,0.54,,0.459,0.689,0.425,0.447,0.302,0.334,,0.366,0.701,,0.015,12,,0.127,0.357,,3,0
168,Paul George,PF,33,LAC,74,2502,0.471,17.7,,0.524,0.128,0.125,0.122,0.15,0.476,,0.523,0.703,0.448,0.523,0.432,0.413,,0.448,0.733,,0.032,29,,0.138,0.457,,1,0
169,Taj Gibson,PF,38,TOT,20,204,0.405,10.6,,0.73,0.351,0.216,0.081,0.081,0.27,,0.481,0.462,0.25,1,0.667,0.2,,0.615,1,,0.054,1,,0.8,0.125,,0,0
169,Taj Gibson,PF,38,NYK,16,165,0.304,10.1,,0.739,0.391,0.217,0,0.13,0.261,,0.412,0.444,0.2,,0.667,0,,0.571,,,0.087,1,,1,0,,0,0
169,Taj Gibson,PF,38,DET,4,39,0.571,11.5,,0.714,0.286,0.214,0.214,0,0.286,,0.6,0.5,0.333,1,,0.5,,0.667,1,,0,0,,0.5,0.5,,0,0
170,Josh Giddey,SG,21,OKC,80,2011,0.475,10.9,,0.713,0.283,0.336,0.064,0.03,0.287,,0.53,0.671,0.425,0.519,0.4,0.337,,0.522,0.963,,0.006,4,,0.37,0.367,,0,0
171,Harry Giles,C,25,TOT,23,100,0.46,10.5,,0.72,0.36,0.26,0.06,0.04,0.28,,0.556,0.667,0.462,0.333,0.5,0.214,,0.7,1,,0.12,5,,0.357,0.2,,0,0
171,Harry Giles,C,25,BRK,16,81,0.5,9.8,,0.75,0.386,0.25,0.068,0.045,0.25,,0.576,0.647,0.545,0.333,0.5,0.273,,0.684,1,,0.136,5,,0.273,0.333,,0,0
171,Harry Giles,C,25,LAL,7,19,0.167,15.2,,0.5,0.167,0.333,0,0,0.5,,0.333,1,0,,,0,,1,,,0,0,,0.667,0,,0,0
172,Shai Gilgeous-Alexander,PG,25,OKC,75,2553,0.535,11.3,,0.819,0.252,0.224,0.26,0.083,0.181,,0.576,0.731,0.492,0.53,0.472,0.353,,0.223,0.368,,0.027,37,,0.059,0.5,,0,0
173,Anthony Gill,PF,31,WAS,50,466,0.469,9.5,,0.744,0.356,0.338,0.044,0.006,0.256,,0.546,0.667,0.426,0.429,1,0.244,,0.692,1,,0.038,5,,0.293,0.083,,0,0
174,Collin Gillespie,PG,24,DEN,24,225,0.464,17.9,,0.449,0.188,0.13,0.029,0.101,0.551,,0.548,0.538,0.556,1,0.429,0.395,,0.353,0.933,,0.014,1,,0.105,0.5,,0,0
175,Jacob Gilyard,PG,25,TOT,41,699,0.4,23.8,,0.16,0.027,0.04,0.013,0.08,0.84,,0.375,0.25,0.5,0,0.417,0.405,,0.111,0.824,,0,0,,0.238,0.5,,2,0
175,Jacob Gilyard,PG,25,MEM,37,654,0.417,23.5,,0.167,0.028,0.042,0.014,0.083,0.833,,0.375,0.25,0.5,0,0.417,0.425,,0.111,0.824,,0,0,,0.25,0.5,,1,0
175,Jacob Gilyard,PG,25,BRK,4,45,0,31.5,,0,0,0,0,0,1,,,,,,,0,,,,,0,0,,0,,,1,0
176,Rudy Gobert,C,31,MIN,76,2593,0.661,2.7,,0.995,0.757,0.195,0.029,0.013,0.005,,0.664,0.755,0.4,0.222,0.375,0,,0.685,,,0.441,248,,0,,,1,0
177,Jordan Goodwin,PG,25,TOT,57,1055,0.369,14,,0.631,0.215,0.204,0.136,0.076,0.369,,0.411,0.561,0.308,0.365,0.345,0.298,,0.293,0.857,,0.008,1,,0.248,0.343,,0,0
177,Jordan Goodwin,PG,25,PHO,40,558,0.389,14.8,,0.585,0.212,0.192,0.119,0.062,0.415,,0.46,0.659,0.351,0.348,0.333,0.288,,0.365,0.913,,0.005,0,,0.25,0.35,,0,0
177,Jordan Goodwin,PG,25,MEM,17,497,0.349,13.3,,0.677,0.217,0.217,0.153,0.09,0.323,,0.367,0.463,0.268,0.379,0.353,0.311,,0.213,0.789,,0.011,1,,0.246,0.333,,0,0
178,Aaron Gordon,PF,28,DEN,73,2297,0.556,7.4,,0.807,0.554,0.183,0.053,0.017,0.193,,0.619,0.738,0.382,0.263,0.417,0.29,,0.642,0.85,,0.256,171,,0.391,0.352,,1,0
179,Eric Gordon,SG,35,PHO,68,1893,0.443,18.4,,0.358,0.175,0.149,0.026,0.008,0.642,,0.561,0.731,0.391,0.5,0.2,0.378,,0.653,0.933,,0.002,1,,0.202,0.413,,1,0
180,Devonte' Graham,PG,28,SAS,23,313,0.352,21.9,,0.231,0.083,0.037,0.074,0.037,0.769,,0.52,0.667,0.5,0.375,0.5,0.301,,0.385,0.72,,0,0,,0.145,0.25,,1,0
181,Jerami Grant,PF,29,POR,54,1830,0.451,13.2,,0.675,0.214,0.255,0.096,0.109,0.325,,0.474,0.599,0.406,0.415,0.441,0.402,,0.445,0.973,,0.028,18,,0.333,0.467,,0,0
