,,,,,,,,,,% of FGA by Distance,,,,,,,FG% by Distance,,,,,,,% of FG Ast'd,,,Dunks,,,Corner 3s,,,Heaves,
295,Kira Lewis Jr.,PG,22,TOR,1,2,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0
295,Kira Lewis Jr.,PG,22,UTA,12,119,0.45,13.3,,0.675,0.1,0.375,0.15,0.05,0.325,,0.593,0.75,0.733,0.333,0,0.154,,0.375,0.5,,0,0,,0.231,0,,0,0
296,Maxwell Lewis,SF,21,LAL,34,103,0.19,14.3,,0.571,0.238,0.19,0.048,0.095,0.429,,0.25,0.2,0.25,0,0.5,0.111,,0.333,1,,0.048,0,,0,,,0,0
297,E.J. Liddell,PF,23,NOP,8,23,0.167,22.1,,0.167,0.167,0,0,0,0.833,,1,1,,,,0,,1,,,0.167,1,,0,,,0,0
298,Damian Lillard,PG,33,MIL,73,2579,0.424,17.2,,0.513,0.194,0.147,0.078,0.094,0.487,,0.49,0.677,0.314,0.404,0.45,0.354,,0.196,0.509,,0.01,8,,0.058,0.278,,7,0
299,Nassir Little,SF,23,PHO,45,458,0.46,16.4,,0.435,0.21,0.161,0.032,0.032,0.565,,0.667,0.769,0.6,0.25,0.75,0.3,,0.722,1,,0.097,12,,0.357,0.32,,0,0
300,Dereck Lively II,C,19,DAL,55,1294,0.747,2.4,,0.993,0.75,0.23,0.01,0.003,0.007,,0.752,0.833,0.515,0,1,0,,0.81,,,0.527,141,,1,0,,0,0
301,Isaiah Livers,PF,25,DET,23,469,0.345,19.2,,0.336,0.155,0.086,0.017,0.078,0.664,,0.462,0.667,0.3,0,0.333,0.286,,0.778,1,,0.034,4,,0.364,0.286,,1,0
302,Chris Livingston,SF,20,MIL,21,90,0.5,7.9,,0.773,0.545,0.227,0,0,0.227,,0.588,0.667,0.4,,,0.2,,0.5,1,,0.045,1,,0.6,0.333,,0,0
303,Kenneth Lofton Jr.,PF,21,TOT,21,199,0.462,13.5,,0.692,0.192,0.256,0.128,0.115,0.308,,0.537,0.8,0.5,0.3,0.444,0.292,,0.517,1,,0.051,4,,0.167,0.25,,0,0
303,Kenneth Lofton Jr.,PF,21,MEM,15,99,0.378,13.3,,0.73,0.189,0.216,0.216,0.108,0.27,,0.407,0.714,0.5,0.25,0,0.3,,0.545,1,,0.081,3,,0.1,0,,0,0
303,Kenneth Lofton Jr.,PF,21,PHI,2,9,0.167,12.5,,0.667,0.333,0.167,0.167,0,0.333,,0.25,0.5,0,0,,0,,1,,,0,0,,0,,,0,0
303,Kenneth Lofton Jr.,PF,21,UTA,4,91,0.6,13.8,,0.657,0.171,0.314,0.029,0.143,0.343,,0.739,1,0.545,1,0.8,0.333,,0.471,1,,0.029,1,,0.25,0.333,,0,0
304,Kevon Looney,C,27,GSW,74,1195,0.597,4.2,,0.996,0.485,0.421,0.06,0.03,0.004,,0.599,0.681,0.541,0.429,0.429,0,,0.676,,,0.12,24,,0,,,1,0
305,Brook Lopez,C,35,MIL,79,2411,0.485,16.6,,0.465,0.248,0.122,0.077,0.019,0.535,,0.621,0.786,0.413,0.431,0.571,0.366,,0.739,1,,0.058,42,,0.141,0.404,,0,0
306,Robin Lopez,C,35,MIL,16,65,0.368,14.2,,0.579,0,0.579,0,0,0.421,,0.455,,0.455,,,0.25,,0.8,1,,0,0,,0.625,0.4,,0,0
307,Kevin Love,PF,35,MIA,55,924,0.44,19.4,,0.32,0.139,0.142,0.011,0.028,0.68,,0.643,0.78,0.569,0.75,0.3,0.344,,0.622,0.988,,0.003,0,,0.135,0.273,,1,0
308,Kyle Lowry,PG,37,TOT,60,1690,0.432,19.7,,0.337,0.114,0.111,0.072,0.04,0.663,,0.512,0.628,0.5,0.333,0.533,0.392,,0.477,0.806,,0,0,,0.248,0.452,,2,0
308,Kyle Lowry,PG,37,MIA,37,1037,0.426,19.6,,0.335,0.116,0.124,0.062,0.033,0.665,,0.506,0.607,0.5,0.2,0.75,0.385,,0.488,0.823,,0,0,,0.224,0.472,,2,0
308,Kyle Lowry,PG,37,PHI,23,653,0.444,19.9,,0.341,0.111,0.089,0.089,0.052,0.659,,0.522,0.667,0.5,0.5,0.286,0.404,,0.458,0.778,,0,0,,0.292,0.423,,0,0
309,Seth Lundy,SF,23,ATL,9,52,0.235,21.1,,0.235,0.059,0.118,0,0.059,0.765,,0.25,0,0,,1,0.231,,1,1,,0,0,,0.308,0.25,,0,0
310,Trey Lyles,PF,28,SAC,58,1158,0.445,18.8,,0.318,0.178,0.1,0.022,0.019,0.682,,0.578,0.754,0.375,0.571,0,0.384,,0.729,1,,0.025,6,,0.384,0.369,,3,0
311,Théo Maledon,PG,22,TOT,17,213,0.286,15,,0.571,0.214,0.229,0.086,0.043,0.429,,0.375,0.533,0.313,0.333,0,0.167,,0.6,1,,0,0,,0.233,0.286,,2,0
311,Théo Maledon,PG,22,CHO,13,200,0.288,15.6,,0.545,0.212,0.197,0.091,0.045,0.455,,0.389,0.571,0.308,0.333,0,0.167,,0.643,1,,0,0,,0.233,0.286,,2,0
311,Théo Maledon,PG,22,PHO,4,13,0.25,4.9,,1,0.25,0.75,0,0,0,,0.25,0,0.333,,,,,0,,,0,0,,,,,0,0
312,Sandro Mamukelashvili,C,24,SAS,46,451,0.471,13.4,,0.587,0.323,0.213,0.045,0.006,0.413,,0.593,0.66,0.515,0.429,1,0.297,,0.611,1,,0.077,10,,0.297,0.263,,3,0
313,Terance Mann,SG,27,LAC,75,1873,0.515,13.1,,0.586,0.292,0.193,0.085,0.016,0.414,,0.633,0.833,0.463,0.405,0.25,0.348,,0.639,0.944,,0.105,45,,0.515,0.381,,1,0
314,Tre Mann,PG,22,TOT,41,987,0.459,14.3,,0.601,0.237,0.212,0.104,0.047,0.399,,0.516,0.667,0.433,0.424,0.333,0.373,,0.194,0.766,,0.022,4,,0.198,0.44,,0,0
314,Tre Mann,PG,22,OKC,13,119,0.5,16.2,,0.525,0.25,0.1,0.075,0.1,0.475,,0.571,0.6,0.5,0.333,0.75,0.421,,0.333,0.75,,0,0,,0.158,0.667,,0,0
314,Tre Mann,PG,22,CHO,28,868,0.453,14.1,,0.612,0.236,0.228,0.109,0.04,0.388,,0.509,0.677,0.429,0.433,0.182,0.364,,0.174,0.769,,0.025,4,,0.206,0.409,,0,0
315,Boban Marjanović,C,35,HOU,14,71,0.529,6.7,,0.941,0.294,0.529,0.088,0.029,0.059,,0.563,0.9,0.444,0.333,0,0,,0.722,,,0.206,7,,0,,,0,0
316,Lauri Markkanen,PF,26,UTA,55,1820,0.48,15.7,,0.507,0.175,0.24,0.061,0.03,0.493,,0.559,0.724,0.5,0.389,0.407,0.399,,0.742,0.983,,0.098,77,,0.178,0.436,,1,0
317,Naji Marshall,SF,26,NOP,66,1257,0.463,14.3,,0.591,0.218,0.253,0.082,0.038,0.409,,0.516,0.65,0.43,0.467,0.429,0.387,,0.563,0.966,,0.027,9,,0.54,0.42,,8,1
318,Caleb Martin,SF,28,MIA,64,1756,0.431,14.5,,0.585,0.218,0.216,0.072,0.079,0.415,,0.489,0.598,0.463,0.325,0.409,0.349,,0.581,0.926,,0.036,18,,0.353,0.329,,2,0
319,Cody Martin,SF,28,CHO,28,753,0.381,14.8,,0.6,0.223,0.158,0.098,0.121,0.4,,0.426,0.667,0.382,0.381,0.077,0.314,,0.436,0.704,,0.033,5,,0.36,0.355,,0,0
320,KJ Martin,SF,23,TOT,60,746,0.536,5.8,,0.845,0.613,0.227,0,0.006,0.155,,0.582,0.649,0.415,,0,0.286,,0.787,1,,0.227,34,,0.536,0.4,,0,0
320,KJ Martin,SF,23,LAC,2,31,0.4,13.5,,0.5,0.2,0.3,0,0,0.5,,0.6,1,0.333,,,0.2,,1,1,,0.2,2,,0.6,0.333,,0,0
320,KJ Martin,SF,23,PHI,58,715,0.544,5.4,,0.865,0.637,0.222,0,0.006,0.135,,0.581,0.642,0.421,,0,0.304,,0.779,1,,0.228,32,,0.522,0.417,,0,0
321,Garrison Mathews,SG,27,ATL,66,992,0.456,22.6,,0.146,0.044,0.031,0.053,0.018,0.854,,0.545,0.8,0,0.583,0.75,0.44,,0.722,0.976,,0,0,,0.316,0.459,,0,0
322,Bennedict Mathurin,SF,21,IND,59,1538,0.446,12.4,,0.677,0.275,0.253,0.089,0.06,0.323,,0.481,0.582,0.393,0.458,0.425,0.374,,0.583,0.75,,0.03,17,,0.107,0.435,,0,0
323,Wesley Matthews,SG,37,ATL,36,413,0.351,19.7,,0.289,0.113,0.082,0.082,0.01,0.711,,0.357,0.455,0.375,0.25,0,0.348,,0.9,0.958,,0,0,,0.391,0.444,,0,0
324,Tyrese Maxey,PG,23,PHI,70,2626,0.45,14.7,,0.599,0.222,0.229,0.092,0.056,0.401,,0.501,0.667,0.406,0.392,0.413,0.373,,0.343,0.599,,0.004,6,,0.072,0.61,,3,0
325,Skylar Mays,PG-SG,26,TOT,38,433,0.396,13.4,,0.66,0.201,0.264,0.151,0.044,0.34,,0.448,0.406,0.476,0.375,0.714,0.296,,0.277,0.875,,0.038,4,,0.148,0.25,,0,0
325,Skylar Mays,PG,26,POR,21,356,0.384,13.7,,0.645,0.203,0.246,0.152,0.043,0.355,,0.438,0.393,0.441,0.429,0.667,0.286,,0.179,0.857,,0.029,2,,0.122,0.167,,0,0
325,Skylar Mays,SG,26,LAL,17,77,0.476,11.2,,0.762,0.19,0.381,0.143,0.048,0.238,,0.5,0.5,0.625,0,1,0.4,,0.75,1,,0.095,2,,0.4,0.5,,0,0
326,Miles McBride,PG,23,NYK,68,1328,0.452,17.8,,0.414,0.172,0.081,0.099,0.062,0.586,,0.511,0.679,0.351,0.444,0.357,0.41,,0.375,0.899,,0.035,12,,0.395,0.457,,3,0
327,CJ McCollum,PG,32,NOP,66,2159,0.459,17.5,,0.472,0.107,0.186,0.121,0.058,0.528,,0.492,0.584,0.464,0.477,0.443,0.429,,0.392,0.741,,0.005,5,,0.12,0.448,,0,0
328,T.J. McConnell,PG,31,IND,71,1291,0.556,8.5,,0.926,0.241,0.403,0.256,0.025,0.074,,0.568,0.741,0.527,0.493,0.333,0.409,,0.317,0.778,,0,0,,0.205,0.667,,1,0
329,Jaden McDaniels,SF,23,MIN,72,2105,0.489,13.6,,0.594,0.22,0.237,0.107,0.03,0.406,,0.592,0.783,0.497,0.507,0.263,0.337,,0.62,0.988,,0.092,49,,0.608,0.361,,2,0
330,Jalen McDaniels,SF,26,TOR,50,538,0.344,12.9,,0.624,0.201,0.339,0.063,0.021,0.376,,0.449,0.553,0.453,0.25,0,0.169,,0.679,0.917,,0.042,7,,0.296,0.286,,0,0
331,Doug McDermott,SF,32,TOT,64,904,0.433,21.9,,0.194,0.099,0.042,0.025,0.028,0.806,,0.527,0.607,0.333,0.571,0.5,0.41,,0.931,0.979,,0.021,6,,0.214,0.408,,0,0
331,Doug McDermott,SF,32,SAS,46,700,0.442,21.8,,0.195,0.116,0.028,0.023,0.028,0.805,,0.452,0.56,0,0.4,0.5,0.439,,0.947,0.974,,0.023,5,,0.208,0.417,,0,0
331,Doug McDermott,SF,32,IND,18,204,0.406,22.3,,0.188,0.043,0.087,0.029,0.029,0.812,,0.769,1,0.667,1,0.5,0.321,,0.9,1,,0.014,1,,0.232,0.385,,0,0
332,JaVale McGee,C,36,SAC,46,339,0.598,4.9,,0.947,0.492,0.417,0.03,0.008,0.053,,0.624,0.769,0.509,0,0,0.143,,0.769,1,,0.303,35,,0,,,0,0
333,Bryce McGowens,SG,21,CHO,59,882,0.439,13.9,,0.557,0.3,0.178,0.03,0.048,0.443,,0.523,0.58,0.488,0.571,0.273,0.333,,0.493,0.971,,0.03,7,,0.382,0.41,,0,0
334,Jordan McLaughlin,PG,27,MIN,56,626,0.483,17,,0.386,0.214,0.117,0.028,0.028,0.614,,0.5,0.613,0.353,0,0.75,0.472,,0.643,0.976,,0,0,,0.494,0.432,,1,1
335,De'Anthony Melton,SG,25,PHI,38,1023,0.386,17.6,,0.406,0.181,0.153,0.031,0.042,0.594,,0.425,0.538,0.345,0.273,0.333,0.36,,0.484,0.792,,0.028,10,,0.178,0.342,,0,0
336,Nathan Mensah,C,25,CHO,25,307,0.429,4,,1,0.393,0.607,0,0,0,,0.429,0.545,0.353,,,,,0.667,,,0.107,3,,,,,0,0
337,Sam Merrill,SG,27,CLE,61,1069,0.402,23.6,,0.099,0.041,0.038,0.015,0.005,0.901,,0.385,0.5,0.467,0,0,0.404,,0.8,0.965,,0,0,,0.195,0.449,,1,0
338,Chimezie Metu,C,26,TOT,51,859,0.504,12.6,,0.615,0.311,0.217,0.061,0.025,0.385,,0.633,0.803,0.491,0.4,0.333,0.298,,0.737,0.929,,0.156,34,,0.319,0.333,,0,0
338,Chimezie Metu,C,26,PHO,37,448,0.508,12.2,,0.608,0.385,0.162,0.038,0.023,0.392,,0.646,0.82,0.333,0.4,0.333,0.294,,0.824,1,,0.192,23,,0.294,0.467,,0,0
338,Chimezie Metu,C,26,DET,14,411,0.5,13.2,,0.623,0.228,0.281,0.088,0.026,0.377,,0.62,0.769,0.594,0.4,0.333,0.302,,0.636,0.846,,0.114,11,,0.349,0.2,,0,0
339,Vasilije Micić,PG,30,TOT,60,1176,0.43,14.6,,0.584,0.276,0.146,0.086,0.076,0.416,,0.537,0.706,0.296,0.469,0.464,0.279,,0.353,0.605,,0.003,1,,0.084,0.154,,0,0
339,Vasilije Micić,PG,30,OKC,30,361,0.407,16.1,,0.505,0.198,0.176,0.066,0.066,0.495,,0.565,0.944,0.25,0.5,0.333,0.244,,0.577,0.818,,0.011,1,,0.133,0,,0,0
339,Vasilije Micić,PG,30,CHO,30,815,0.437,14.2,,0.609,0.301,0.136,0.093,0.079,0.391,,0.529,0.655,0.316,0.462,0.5,0.294,,0.289,0.531,,0,0,,0.064,0.286,,0,0
340,Khris Middleton,SF,32,MIL,55,1487,0.493,16.7,,0.616,0.101,0.159,0.187,0.17,0.384,,0.563,0.708,0.51,0.517,0.578,0.381,,0.372,0.702,,0.005,2,,0.186,0.413,,0,0
341,Brandon Miller,SF,21,CHO,74,2383,0.44,16.7,,0.545,0.141,0.168,0.163,0.073,0.455,,0.495,0.673,0.412,0.426,0.494,0.373,,0.493,0.908,,0.039,39,,0.181,0.393,,4,0
342,Jordan Miller,SF,24,LAC,8,28,0.556,9.2,,0.778,0.556,0,0.111,0.111,0.222,,0.571,0.8,,0,0,0.5,,0,1,,0.222,2,,1,0.5,,0,0
343,Leonard Miller,SF,20,MIN,17,52,0.65,10.5,,0.75,0.45,0.1,0.1,0.1,0.25,,0.733,0.778,0.5,0.5,1,0.4,,0.636,1,,0,0,,0.4,0.5,,0,0
344,Dariq Whitehead,SF,19,BRK,2,24,0.2,17.6,,0.4,0,0.4,0,0,0.6,,0.5,,0.5,,,0,,1,,,0,0,,0.333,0,,0,0
345,Patty Mills,PG,35,TOT,32,415,0.351,20.2,,0.336,0.046,0.122,0.069,0.099,0.664,,0.5,0.833,0.313,0.556,0.538,0.276,,0.545,0.958,,0,0,,0.276,0.375,,0,0
345,Patty Mills,PG,35,ATL,19,202,0.373,20.4,,0.333,0.039,0.118,0.078,0.098,0.667,,0.353,0.5,0.167,0.5,0.4,0.382,,0.667,1,,0,0,,0.412,0.5,,0,0
345,Patty Mills,PG,35,MIA,13,213,0.338,20,,0.338,0.05,0.125,0.063,0.1,0.663,,0.593,1,0.4,0.6,0.625,0.208,,0.5,0.909,,0,0,,0.189,0.2,,0,0
346,Shake Milton,SG,27,TOT,48,581,0.405,13.1,,0.672,0.215,0.226,0.205,0.026,0.328,,0.466,0.69,0.295,0.4,0.6,0.281,,0.639,0.944,,0,0,,0.391,0.4,,1,0
346,Shake Milton,SG,27,MIN,38,491,0.4,13.1,,0.669,0.206,0.244,0.206,0.013,0.331,,0.467,0.667,0.333,0.394,1,0.264,,0.6,0.929,,0,0,,0.396,0.429,,1,0
346,Shake Milton,SG,27,DET,4,63,0.423,14,,0.654,0.231,0.115,0.231,0.077,0.346,,0.471,0.667,0,0.5,0.5,0.333,,0.75,1,,0,0,,0.444,0.25,,0,0
346,Shake Milton,SG,27,NYK,6,27,0.444,10.7,,0.778,0.333,0.222,0.111,0.111,0.222,,0.429,1,0,0,0,0.5,,1,1,,0,0,,0,,,0,0
347,Justin Minaya,SF,24,POR,34,381,0.297,17.5,,0.338,0.243,0.081,0.014,0,0.662,,0.4,0.556,0,0,,0.245,,0.4,0.917,,0.041,2,,0.245,0.333,,0,0
348,Josh Minott,SF,21,MIN,32,91,0.472,9.1,,0.722,0.444,0.278,0,0,0.278,,0.5,0.625,0.3,,,0.4,,0.615,1,,0.139,4,,0.3,0.333,,0,0
349,Davion Mitchell,PG,25,SAC,72,1101,0.452,16.2,,0.511,0.155,0.192,0.09,0.074,0.489,,0.539,0.76,0.5,0.31,0.458,0.361,,0.472,0.965,,0,0,,0.291,0.457,,0,0
350,Donovan Mitchell,SG,27,CLE,55,1942,0.462,16.4,,0.546,0.209,0.139,0.097,0.101,0.454,,0.539,0.702,0.411,0.462,0.455,0.368,,0.249,0.56,,0.019,18,,0.051,0.32,,1,0
351,Evan Mobley,PF,22,CLE,50,1532,0.58,6.5,,0.893,0.464,0.337,0.065,0.027,0.107,,0.604,0.77,0.462,0.361,0.133,0.373,,0.725,1,,0.239,129,,0.424,0.36,,0,0
352,Isaiah Mobley,PF,24,CLE,10,72,0.417,12.3,,0.583,0.375,0.167,0.042,0,0.417,,0.5,0.778,0,0,,0.3,,0.429,1,,0.083,2,,0.4,0.25,,0,0
353,Malik Monk,SG,25,SAC,72,1872,0.443,16.2,,0.526,0.169,0.189,0.108,0.06,0.474,,0.528,0.656,0.456,0.5,0.444,0.35,,0.464,0.784,,0.049,41,,0.132,0.429,,0,0
354,Moses Moody,SG,21,GSW,66,1156,0.462,15.2,,0.524,0.179,0.24,0.064,0.04,0.476,,0.555,0.733,0.475,0.481,0.353,0.36,,0.582,0.903,,0.05,17,,0.27,0.315,,0,0
355,Xavier Moon,SG,29,LAC,14,119,0.326,16.2,,0.63,0.065,0.217,0.217,0.13,0.37,,0.448,0,0.4,0.6,0.5,0.118,,0.308,0.5,,0,0,,0.059,0,,0,0
356,Taze Moore,SG,25,POR,4,40,0.421,11.9,,0.632,0.368,0.211,0,0.053,0.368,,0.583,1,0,,0,0.143,,0.429,1,,0.105,2,,0.286,0,,0,0
357,Wendell Moore Jr.,SG,22,MIN,25,75,0.5,13,,0.667,0.222,0.167,0.222,0.056,0.333,,0.75,1,0.667,0.75,0,0,,0.556,,,0.056,1,,0.333,0,,0,0
358,Ja Morant,PG,24,MEM,9,318,0.471,11.9,,0.7,0.288,0.288,0.088,0.035,0.3,,0.555,0.714,0.49,0.267,0.5,0.275,,0.288,0.5,,0.047,6,,0.098,0.2,,0,0
359,Marcus Morris,PF,34,TOT,49,817,0.439,18.1,,0.549,0.072,0.121,0.178,0.178,0.451,,0.469,0.684,0.375,0.511,0.404,0.403,,0.471,0.938,,0.008,2,,0.294,0.429,,1,0
359,Marcus Morris,PF,34,PHI,37,637,0.439,17.8,,0.561,0.093,0.122,0.161,0.185,0.439,,0.47,0.684,0.32,0.545,0.395,0.4,,0.444,0.972,,0.01,2,,0.267,0.375,,0,0
359,Marcus Morris,PF,34,CLE,12,180,0.441,19.3,,0.508,0,0.119,0.237,0.153,0.492,,0.467,,0.571,0.429,0.444,0.414,,0.571,0.833,,0,0,,0.379,0.545,,1,0
360,Markieff Morris,PF,34,DAL,26,216,0.338,20.4,,0.382,0.044,0.103,0.118,0.118,0.618,,0.308,0.333,0.429,0.25,0.25,0.357,,0.5,0.867,,0,0,,0.238,0.5,,0,0
361,Monte Morris,PG,28,TOT,33,476,0.405,17.7,,0.542,0.111,0.098,0.203,0.131,0.458,,0.422,0.588,0.2,0.419,0.45,0.386,,0.314,0.926,,0,0,,0.3,0.476,,2,0
361,Monte Morris,PG,28,DET,6,68,0.364,17.2,,0.667,0.152,0.182,0.182,0.152,0.333,,0.455,0.4,0.5,0.667,0.2,0.182,,0.3,0.5,,0,0,,0.273,0,,2,0
361,Monte Morris,PG,28,MIN,27,408,0.417,17.8,,0.508,0.1,0.075,0.208,0.125,0.492,,0.41,0.667,0,0.36,0.533,0.424,,0.32,0.96,,0,0,,0.305,0.556,,0,0
362,Trey Murphy III,SF,23,NOP,57,1690,0.443,20.3,,0.283,0.142,0.1,0.027,0.014,0.717,,0.602,0.795,0.419,0.471,0.222,0.38,,0.679,0.893,,0.068,38,,0.2,0.404,,1,0
363,Dejounte Murray,SG,27,ATL,78,2783,0.459,14.9,,0.621,0.17,0.191,0.181,0.079,0.379,,0.518,0.581,0.464,0.521,0.509,0.363,,0.261,0.706,,0.011,14,,0.222,0.431,,1,0
364,Jamal Murray,PG,26,DEN,59,1861,0.481,15.2,,0.654,0.166,0.167,0.169,0.151,0.346,,0.51,0.652,0.461,0.455,0.47,0.425,,0.337,0.6,,0.019,19,,0.111,0.289,,2,0
365,Keegan Murray,SF,23,SAC,77,2588,0.454,17.3,,0.476,0.139,0.149,0.112,0.076,0.524,,0.56,0.728,0.559,0.477,0.378,0.358,,0.746,0.978,,0.084,72,,0.252,0.326,,1,0
366,Kris Murray,SF,23,POR,62,1348,0.396,14.1,,0.5,0.287,0.18,0.03,0.003,0.5,,0.525,0.657,0.333,0.455,0,0.268,,0.5,0.98,,0.06,21,,0.475,0.299,,1,0
367,Mike Muscala,C,32,TOT,53,600,0.359,18.2,,0.385,0.167,0.103,0.058,0.058,0.615,,0.467,0.615,0.375,0.333,0.333,0.292,,0.643,1,,0.032,4,,0.24,0.391,,0,0
367,Mike Muscala,C,32,WAS,24,338,0.367,17.5,,0.433,0.178,0.1,0.089,0.067,0.567,,0.487,0.625,0.333,0.375,0.5,0.275,,0.737,1,,0.022,2,,0.255,0.231,,0,0
367,Mike Muscala,C,32,DET,13,171,0.341,21.3,,0.227,0.068,0.114,0.023,0.023,0.773,,0.2,0.333,0.2,0,0,0.382,,0,1,,0.023,0,,0.235,0.75,,0,0
367,Mike Muscala,C,32,OKC,16,91,0.364,15,,0.5,0.318,0.091,0,0.091,0.5,,0.636,0.714,1,,0,0.091,,0.571,1,,0.091,2,,0.182,0,,0,0
368,Svi Mykhailiuk,SF,26,BOS,41,413,0.416,21.9,,0.212,0.109,0.036,0.051,0.015,0.788,,0.517,0.667,0.8,0.143,0,0.389,,0.733,0.929,,0.036,3,,0.278,0.533,,1,0
369,Larry Nance Jr.,C,31,NOP,61,1216,0.573,9.8,,0.73,0.411,0.245,0.062,0.012,0.27,,0.631,0.727,0.525,0.4,0.667,0.415,,0.766,0.963,,0.22,46,,0.585,0.421,,3,0
370,Pete Nance,PF,23,CLE,8,27,0.167,10.2,,0.833,0.333,0.167,0.333,0,0.167,,0,0,0,0,,1,,,1,,0,0,,0,,,0,0
371,Andrew Nembhard,PG,24,IND,68,1697,0.498,14.1,,0.672,0.19,0.207,0.197,0.079,0.328,,0.567,0.737,0.472,0.534,0.488,0.357,,0.412,0.918,,0.002,1,,0.31,0.528,,0,0
372,Aaron Nesmith,SF,24,IND,72,1995,0.496,15.2,,0.474,0.246,0.167,0.052,0.009,0.526,,0.581,0.699,0.434,0.485,0.667,0.419,,0.697,0.986,,0.052,31,,0.419,0.436,,0,0
373,Georges Niang,PF,30,CLE,82,1831,0.449,17.9,,0.373,0.12,0.196,0.049,0.008,0.627,,0.572,0.684,0.524,0.548,0.2,0.376,,0.741,0.973,,0,0,,0.354,0.343,,0,0
374,Daishen Nix,PG,21,MIN,15,50,0.375,19.3,,0.292,0.083,0.208,0,0,0.708,,0.429,1,0.2,,,0.353,,0.333,0.667,,0.042,1,,0.176,0,,0,0
375,Zeke Nnaji,PF,23,DEN,58,576,0.463,6.1,,0.846,0.597,0.215,0.027,0.007,0.154,,0.5,0.584,0.313,0.25,0,0.261,,0.619,1,,0.181,24,,0.391,0.222,,0,0
376,Jaylen Nowell,SG,24,TOT,13,214,0.436,15.7,,0.628,0.103,0.269,0.128,0.128,0.372,,0.571,0.625,0.429,0.7,0.7,0.207,,0.536,1,,0.013,1,,0.172,0.2,,1,0
376,Jaylen Nowell,SG,24,MEM,9,156,0.4,17.3,,0.582,0.036,0.255,0.164,0.127,0.418,,0.563,0.5,0.429,0.667,0.714,0.174,,0.444,1,,0,0,,0.174,0.25,,1,0
376,Jaylen Nowell,SG,24,DET,4,58,0.522,11.8,,0.739,0.261,0.304,0.043,0.13,0.261,,0.588,0.667,0.429,1,0.667,0.333,,0.7,1,,0.043,1,,0.167,0,,0,0
377,Markquis Nowell,SG,24,TOR,1,4,0,9.5,,1,0,1,0,0,0,,0,,0,,,,,,,,0,0,,,,,0,0
378,Frank Ntilikina,PG,25,CHO,5,43,0.111,24.2,,0.111,0,0,0,0.111,0.889,,0,,,,0,0.125,,,1,,0,0,,0.375,0,,0,0
379,Jusuf Nurkić,C,29,PHO,76,2078,0.51,6.5,,0.856,0.504,0.311,0.03,0.011,0.144,,0.555,0.63,0.446,0.526,0.286,0.244,,0.651,1,,0.104,56,,0.1,0.111,,0,0
380,Jordan Nwora,SF,25,TOT,52,712,0.462,14.4,,0.562,0.268,0.197,0.06,0.037,0.438,,0.56,0.663,0.542,0.389,0.182,0.336,,0.585,0.841,,0.033,9,,0.298,0.359,,2,0
380,Jordan Nwora,SF,25,IND,18,183,0.451,14,,0.561,0.317,0.159,0.049,0.037,0.439,,0.565,0.654,0.462,0.5,0.333,0.306,,0.731,1,,0.049,4,,0.278,0.3,,0,0
380,Jordan Nwora,SF,25,TOR,34,529,0.465,14.5,,0.562,0.249,0.212,0.065,0.037,0.438,,0.557,0.667,0.565,0.357,0.125,0.347,,0.529,0.788,,0.028,5,,0.305,0.379,,2,0
381,Royce O'Neale,SF,30,TOT,79,1954,0.397,21.8,,0.217,0.109,0.085,0.019,0.004,0.783,,0.496,0.627,0.326,0.5,0.5,0.37,,0.672,0.936,,0.007,3,,0.166,0.443,,7,0
381,Royce O'Neale,SF,30,BRK,49,1202,0.388,22.6,,0.185,0.098,0.065,0.022,0,0.815,,0.483,0.531,0.381,0.571,,0.366,,0.69,0.928,,0.009,2,,0.151,0.45,,6,0
381,Royce O'Neale,SF,30,PHO,30,752,0.411,20.5,,0.266,0.126,0.117,0.014,0.009,0.734,,0.509,0.741,0.28,0.333,0.5,0.376,,0.655,0.949,,0.005,1,,0.191,0.433,,1,0
